Temp-pH,Acute,Chronic
13-6.8,22.3,1.8
14-6.8,22.2,1.78
15-6.8,22,1.77
16-6.8,21.9,1.64
17-6.8,21.8,1.52
18-6.8,21.7,1.42
19-6.8,21.6,1.32
20-6.8,21.5,1.22
0-6.9,24.6,2.08
1-6.9,24.2,2.05
2-6.9,23.9,2.02
3-6.9,23.6,1.99
4-6.9,23.3,1.97
5-6.9,23,1.94
6-6.9,22.7,1.92
7-6.9,22.5,1.9
8-6.9,22.2,1.88
9-6.9,22,1.86
10-6.9,21.8,1.84
11-6.9,21.6,1.83
12-6.9,21.4,1.81
13-6.9,21.3,1.8
14-6.9,21.1,1.78
15-6.9,21,1.77
16-6.9,20.8,1.64
17-6.9,20.7,1.53
18-6.9,20.6,1.42
19-6.9,20.5,1.32
20-6.9,20.4,1.22
0-7.0,23.2,2.08
1-7.0,22.8,2.05
2-7.0,22.5,2.02
3-7.0,22.2,1.99
4-7.0,21.9,1.97
5-7.0,21.6,1.94
6-7.0,21.4,1.92
7-7.0,21.1,1.9
8-7.0,20.9,1.88
9-7.0,20.7,1.86
10-7.0,20.5,1.84
11-7.0,20.3,1.83
12-7.0,20.2,1.81
13-7.0,20,1.8
14-7.0,19.9,1.79
15-7.0,19.7,1.77
16-7.0,19.6,1.64
17-7.0,19.5,1.53
18-7.0,19.4,1.42
19-7.0,19.3,1.32
20-7.0,19.2,1.22
0-7.1,21.6,2.08
1-7.1,21.3,2.05
2-7.1,20.9,2.02
3-7.1,20.7,1.99
4-7.1,20.4,1.97
5-7.1,20.2,1.94
6-7.1,19.9,1.92
7-7.1,19.7,1.9
8-7.1,19.5,1.88
9-7.1,19.3,1.86
10-7.1,19.1,1.84
11-7.1,18.9,1.83
12-7.1,18.8,1.81
13-7.1,18.7,1.8
14-7.1,18.5,1.79
15-7.1,18.4,1.77
16-7.1,18.3,1.65
17-7.1,18.2,1.53
18-7.1,18.1,1.42
19-7.1,18,1.32
20-7.1,17.9,1.23
0-7.2,19.9,2.08
1-7.2,19.6,2.05
2-7.2,19.3,2.02
3-7.2,19,1.99
4-7.2,18.8,1.97
5-7.2,18.6,1.94
6-7.2,18.3,1.92
7-7.2,18.1,1.9
8-7.2,17.9,1.88
9-7.2,17.8,1.86
10-7.2,17.6,1.85
11-7.2,17.4,1.83
12-7.2,17.3,1.81
13-7.2,17.2,1.8
14-7.2,17.1,1.79
15-7.2,16.9,1.78
16-7.2,16.8,1.65
17-7.2,16.8,1.53
18-7.2,16.7,1.42
19-7.2,16.6,1.32
20-7.2,16.5,1.23
0-7.3,18.1,2.08
1-7.3,17.8,2.05
2-7.3,17.5,2.02
3-7.3,17.3,1.99
4-7.3,17.1,1.97
5-7.3,16.9,1.94
6-7.3,16.7,1.92
7-7.3,16.5,1.9
8-7.3,16.3,1.88
9-7.3,16.2,1.86
10-7.3,16,1.85
11-7.3,15.9,1.83
12-7.3,15.7,1.82
13-7.3,15.6,1.8
14-7.3,15.5,1.79
15-7.3,15.4,1.78
16-7.3,15.3,1.65
17-7.3,15.2,1.53
18-7.3,15.2,1.42
19-7.3,15.1,1.32
20-7.3,15.1,1.23
0-7.4,16.2,2.08
1-7.4,16,2.05
2-7.4,15.7,2.02
3-7.4,15.5,2
4-7.4,15.3,1.97
5-7.4,15.2,1.95
6-7.4,15,1.92
7-7.4,14.8,1.9
8-7.4,14.7,1.88
9-7.4,14.5,1.87
10-7.4,14.4,1.85
11-7.4,14.2,1.83
12-7.4,14.1,1.82
13-7.4,14,1.8
14-7.4,13.9,1.79
15-7.4,13.9,1.78
16-7.4,13.8,1.65
17-7.4,13.7,1.53
18-7.4,13.6,1.42
19-7.4,13.6,1.32
20-7.4,13.5,1.23
0-7.5,14.4,2.08
1-7.5,14.1,2.05
2-7.5,14,2.02
3-7.5,13.8,2
4-7.5,13.6,1.97
5-7.5,13.4,1.95
6-7.5,13.3,1.92
7-7.5,13.1,1.91
8-7.5,13,1.88
9-7.5,12.9,1.87
10-7.5,12.7,1.85
11-7.5,12.6,1.83
12-7.5,12.5,1.82
13-7.5,12.4,1.81
14-7.5,12.4,1.8
15-7.5,12.3,1.78
16-7.5,12.2,1.66
17-7.5,12.2,1.54
18-7.5,12.1,1.43
19-7.5,12.1,1.33
20-7.5,12,1.23
0-7.6,12.6,2.09
1-7.6,12.4,2.05
2-7.6,12,2.03
3-7.6,11.9,2
4-7.6,11.9,1.97
5-7.6,11.7,1.95
6-7.6,11.6,1.93
7-7.6,11.5,1.91
8-7.6,11.4,1.89
9-7.6,11.3,1.87
10-7.6,11.2,1.85
11-7.6,11.1,1.84
12-7.6,11,1.82
13-7.6,10.9,1.81
14-7.6,10.8,1.8
15-7.6,10.8,1.79
16-7.6,10.7,1.66
17-7.6,10.7,1.54
18-7.6,10.6,1.43
19-7.6,10.6,1.33
20-7.6,10.5,1.24
0-7.7,10.8,2.09
1-7.7,10.7,2.05
2-7.7,10.5,2.03
3-7.7,10.4,2
4-7.7,10.3,1.98
5-7.7,10.1,1.95
6-7.7,10,1.93
7-7.7,9.92,1.91
8-7.7,9.83,1.89
9-7.7,9.73,1.87
10-7.7,9.65,1.86
11-7.7,9.57,1.84
12-7.7,9.5,1.83
13-7.7,9.43,1.81
14-7.7,9.37,1.8
15-7.7,9.31,1.79
16-7.7,9.26,1.66
17-7.7,9.22,1.54
18-7.7,9.18,1.44
19-7.7,9.15,1.34
20-7.7,9.12,1.24
0-7.8,9.26,1.78
1-7.8,9.12,1.75
2-7.8,8.98,1.73
3-7.8,8.88,1.71
4-7.8,8.77,1.69
5-7.8,8.67,1.67
6-7.8,8.57,1.65
7-7.8,8.48,1.63
8-7.8,8.4,1.62
9-7.8,8.32,1.6
10-7.8,8.25,1.59
11-7.8,8.18,1.57
12-7.8,8.12,1.56
13-7.8,8.07,1.55
14-7.8,8.02,1.54
15-7.8,7.97,1.53
16-7.8,7.93,1.42
17-7.8,7.9,1.32
18-7.8,7.87,1.23
19-7.8,7.84,1.14
20-7.8,7.82,1.07
0-7.9,7.82,1.5
1-7.9,7.71,1.48
2-7.9,7.6,1.46
3-7.9,7.51,1.44
4-7.9,7.42,1.43
5-7.9,7.33,1.41
6-7.9,7.25,1.39
7-7.9,7.17,1.38
8-7.9,7.1,1.36
9-7.9,7.04,1.35
10-7.9,6.98,1.34
11-7.9,6.92,1.33
12-7.9,6.88,1.32
13-7.9,6.83,1.31
14-7.9,6.79,1.31
15-7.9,6.75,1.3
16-7.9,6.72,1.21
17-7.9,6.69,1.12
18-7.9,6.67,1.04
19-7.9,6.65,0.97
20-7.9,6.64,0.904
0-8.0,6.55,1.26
1-8.0,6.46,1.24
2-8.0,6.37,1.23
3-8.0,6.29,1.21
4-8.0,6.22,1.2
5-8.0,6.14,1.18
6-8.0,6.08,1.17
7-8.0,6.02,1.16
8-8.0,5.96,1.15
9-8.0,5.91,1.14
10-8.0,5.86,1.13
11-8.0,5.81,1.12
12-8.0,5.78,1.11
13-8.0,5.74,1.1
14-8.0,5.71,1.1
15-8.0,5.68,1.09
16-8.0,5.66,1.02
17-8.0,5.62,0.944
18-8.0,5.61,0.878
19-8.0,5.6,0.818
20-8.0,5.74,0.762
0-8.1,5.21,1
1-8.1,5.14,0.989
2-8.1,5.07,0.976
3-8.1,5.01,0.963
4-8.1,4.95,0.952
5-8.1,4.9,0.942
6-8.1,4.84,0.932
7-8.1,4.8,0.922
8-8.1,4.75,0.914
9-8.1,4.71,0.906
10-8.1,4.67,0.899
11-8.1,4.64,0.893
12-8.1,4.61,0.887
13-8.1,4.59,0.882
14-8.1,4.56,0.878
15-8.1,4.54,0.874
16-8.1,4.53,0.812
17-8.1,4.51,0.756
18-8.1,4.5,0.704
19-8.1,4.49,0.655
20-8.1,4.49,0.611
0-8.2,4.15,0.799
1-8.2,4.09,0.788
2-8.2,4.04,0.777
3-8.2,3.99,0.768
4-8.2,3.95,0.759
5-8.2,3.9,0.751
6-8.2,3.86,0.743
7-8.2,3.83,0.736
8-8.2,3.8,0.73
9-8.2,3.76,0.724
10-8.2,3.74,0.718
11-8.2,3.71,0.714
12-8.2,3.69,0.709
13-8.2,3.67,0.706
14-8.2,3.65,0.703
15-8.2,3.64,0.7
16-8.2,3.63,0.651
17-8.2,3.62,0.606
18-8.2,3.61,0.565
19-8.2,3.61,0.527
20-8.2,3.61,0.491
0-8.3,3.31,0.636
1-8.3,3.27,0.628
2-8.3,3.22,0.62
3-8.3,3.19,0.613
4-8.3,3.15,0.606
5-8.3,3.12,0.599
6-8.3,3.09,0.594
7-8.3,3.06,0.588
8-8.3,3.03,0.583
9-8.3,3.01,0.579
10-8.3,2.99,0.575
11-8.3,2.97,0.571
12-8.3,2.96,0.568
13-8.3,2.94,0.566
14-8.3,2.93,0.564
15-8.3,2.92,0.562
16-8.3,2.92,0.523
17-8.3,2.91,0.487
18-8.3,2.91,0.455
19-8.3,2.91,0.424
20-8.3,2.91,0.396
0-8.4,2.64,0.508
1-8.4,2.61,0.501
2-8.4,2.57,0.495
3-8.4,2.54,0.489
4-8.4,2.52,0.484
5-8.4,2.49,0.479
6-8.4,2.47,0.475
7-8.4,2.45,0.471
8-8.4,2.43,0.467
9-8.4,2.41,0.464
10-8.4,2.4,0.461
11-8.4,2.38,0.458
12-8.4,2.37,0.456
13-8.4,2.36,0.455
14-8.4,2.36,0.453
15-8.4,2.35,0.452
16-8.4,2.35,0.421
17-8.4,2.35,0.393
18-8.4,2.35,0.367
19-8.4,2.35,0.343
20-8.4,2.36,0.321
0-8.5,2.11,0.405
1-8.5,2.08,0.4
2-8.5,2.06,0.396
3-8.5,2.03,0.381
4-8.5,2.01,0.387
5-8.5,1.99,0.384
6-8.5,1.98,0.38
7-8.5,1.96,0.377
8-8.5,1.95,0.375
9-8.5,1.94,0.372
10-8.5,1.93,0.37
11-8.5,1.92,0.369
12-8.5,1.91,0.367
13-8.5,1.91,0.366
14-8.5,1.9,0.366
15-8.5,1.9,0.365
16-8.5,1.9,0.341
17-8.5,1.9,0.318
18-8.5,1.9,0.298
19-8.5,1.91,0.278
20-8.5,1.92,0.261
0-8.6,1.69,0.324
1-8.6,1.67,0.32
2-8.6,1.65,0.317
3-8.6,1.63,0.313
4-8.6,1.61,0.31
5-8.6,1.6,0.308
6-8.6,1.59,0.305
7-8.6,1.58,0.303
8-8.6,1.57,0.301
9-8.6,1.56,0.3
10-8.6,1.55,0.298
11-8.6,1.55,0.297
12-8.6,1.54,0.297
13-8.6,1.54,0.296
14-8.6,1.54,0.296
15-8.6,1.54,0.296
16-8.6,1.54,0.277
17-8.6,1.55,0.259
18-8.6,1.56,0.242
19-8.6,1.56,0.227
20-8.6,1.57,0.213
0-8.7,1.35,0.26
1-8.7,1.33,0.257
2-8.7,1.32,0.254
3-8.7,1.31,0.251
4-8.7,1.3,0.249
5-8.7,1.29,0.247
6-8.7,1.28,0.246
7-8.7,1.27,0.244
8-8.7,1.26,0.243
9-8.7,1.26,0.242
10-8.7,1.25,0.241
11-8.7,1.25,0.241
12-8.7,1.25,0.24
13-8.7,1.25,0.24
14-8.7,1.25,0.241
15-8.7,1.25,0.241
16-8.7,1.26,0.226
17-8.7,1.26,0.212
18-8.7,1.27,0.198
19-8.7,1.28,0.186
20-8.7,1.29,0.175
0-8.8,1.08,0.208
1-8.8,1.07,0.206
2-8.8,1.06,0.204
3-8.8,1.05,0.202
4-8.8,1.04,0.201
5-8.8,1.04,0.2
6-8.8,1.03,0.198
7-8.8,1.03,0.197
8-8.8,1.02,0.197
9-8.8,1.02,0.196
10-8.8,1.02,0.196
11-8.8,1.02,0.196
12-8.8,1.02,0.196
13-8.8,1.02,0.196
14-8.8,1.02,0.197
15-8.8,1.03,0.198
16-8.8,1.03,0.185
17-8.8,1.04,0.174
18-8.8,1.05,0.164
19-8.8,1.06,0.154
20-8.8,1.07,0.145
0-8.9,0.871,0.168
1-8.9,0.863,0.166
2-8.9,0.856,0.165
3-8.9,0.849,0.163
4-8.9,0.844,0.162
5-8.9,0.839,0.161
6-8.9,0.836,0.161
7-8.9,0.833,0.16
8-8.9,0.832,0.16
9-8.9,0.831,0.16
10-8.9,0.831,0.16
11-8.9,0.832,0.16
12-8.9,0.834,0.161
13-8.9,0.838,0.161
14-8.9,0.842,0.162
15-8.9,0.847,0.163
16-8.9,0.853,0.153
17-8.9,0.861,0.144
18-8.9,0.87,0.136
19-8.9,0.88,0.128
20-8.9,0.891,0.121
0-9.0,0.703,0.135
1-9.0,0.697,0.134
2-9.0,0.692,0.133
3-9.0,0.688,0.132
4-9.0,0.685,0.132
5-9.0,0.682,0.131
6-9.0,0.681,0.131
7-9.0,0.681,0.131
8-9.0,0.681,0.131
9-9.0,0.681,0.131
10-9.0,0.682,0.131
11-9.0,0.684,0.132
12-9.0,0.688,0.132
13-9.0,0.692,0.133
14-9.0,0.698,0.134
15-9.0,0.704,0.135
16-9.0,0.711,0.128
17-9.0,0.72,0.121
18-9.0,0.729,0.114
19-9.0,0.74,0.108
20-9.0,0.752,0.102
